location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-05-31,2024-06-30,0,0.8106420299235352,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,1,0.9547115053416201,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,2,0.9884234394105806,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,3,0.9969443369004476,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,4,0.9991779648720854,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,5,0.9997760473560933,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,6,0.9999384354068713,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,8,0.9999952595005397,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,10,0.9999996286822419,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,15,0.9999999993336085,cdf,WNV cases
Fresno,2024-05-31,2024-06-30,200,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,0,0.2157842249584024,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,1,0.4265994120344288,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,2,0.595477119085984,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,3,0.7208579817661906,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,4,0.8102694319394244,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,5,0.8724576502458226,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,6,0.9149820630691581,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,8,0.9629233134593644,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,10,0.9841201072410521,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,15,0.9981861665881006,cdf,WNV cases
Fresno,2024-05-31,2024-07-31,200,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,0,0.031399817855018,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,1,0.0981968058639888,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,2,0.1911587905179336,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,3,0.297740696357362,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,4,0.4068711212602724,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,5,0.5105834164180139,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,6,0.6040605608645171,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,8,0.753060586845115,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,10,0.8535901981251997,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,15,0.9659836847442913,cdf,WNV cases
Fresno,2024-05-31,2024-08-31,200,1.0,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,0,0.116394462457839,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,1,0.2961095778156157,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,2,0.4802654064721769,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,3,0.6370938118457803,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,4,0.7570762826223086,cdf,WNV cases
Fresno,2024-05-31,2024-09-30,5,0.8426387740876092,cdf,WNV cases
